name,positions_x,age_x,games_played_x,games_started,minutes_played_x,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,FGM,FGA,3PM,3PA,FTM,FTA,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,slug_y,positions_y,age_y,games_played_y,minutes_played_y,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,is_combined_totals,team_names,W,L,W/L%,GB,PS/G,PA/G,SRS,year,seed
Precious Achiuwa,[<Position.CENTER: 'CENTER'>],24,25,0,437,78,170,13,47,24,42,50,86,44,16,12,29,40,193,3.12,6.8,0.52,1.88,0.96,1.68,5.44,1.76,0.64,0.48,1.16,1.6,7.72,0.45882352941176474,0.2765957446808511,0.5714285714285714,achiupr01,[<Position.CENTER: 'CENTER'>],24,25,437,15.0,0.512,0.276,0.247,12.3,22.1,17.1,14.5,1.8,2.4,13.3,21.2,0.0,0.4,0.4,0.048,-1.4,-0.2,-1.6,0.0,False,Toronto Raptors,25,57,0.305,39.0,112.4,118.8,-6.45,2024,12.0
Precious Achiuwa,[<Position.POWER_FORWARD: 'POWER FORWARD'>],24,49,18,1187,157,299,13,50,45,70,141,210,53,30,56,54,103,372,3.204081632653061,6.1020408163265305,0.2653061224489796,1.0204081632653061,0.9183673469387755,1.4285714285714286,7.163265306122449,1.0816326530612246,0.6122448979591837,1.1428571428571428,1.1020408163265305,2.1020408163265305,7.591836734693878,0.5250836120401338,0.26,0.6428571428571429,achiupr01,[<Position.POWER_FORWARD: 'POWER FORWARD'>],24,49,1187,14.5,0.564,0.167,0.234,13.3,19.9,16.6,6.2,1.3,4.4,14.1,14.0,1.2,1.8,3.0,0.122,-1.9,0.5,-1.4,0.2,False,New York Knicks,50,32,0.61,14.0,112.8,108.2,4.36,2024,2.0
Bam Adebayo,[<Position.CENTER: 'CENTER'>],26,71,71,2416,530,1017,15,42,292,387,159,578,278,81,66,162,159,1367,7.464788732394366,14.32394366197183,0.2112676056338028,0.5915492957746479,4.112676056338028,5.450704225352113,10.380281690140846,3.915492957746479,1.1408450704225352,0.9295774647887324,2.2816901408450705,2.23943661971831,19.253521126760564,0.5211406096361849,0.35714285714285715,0.7545219638242894,adebaba01,[<Position.CENTER: 'CENTER'>],26,71,2416,19.8,0.576,0.041,0.381,7.4,27.3,17.3,18.9,1.7,2.7,12.0,24.9,2.9,4.3,7.2,0.144,0.8,1.7,2.4,2.7,False,Miami Heat,46,36,0.561,18.0,110.1,108.4,1.1,2024,8.0
Ochai Agbaji,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23,51,10,1003,106,249,47,142,15,20,35,91,47,27,29,34,66,274,2.0784313725490198,4.882352941176471,0.9215686274509803,2.784313725490196,0.29411764705882354,0.39215686274509803,2.4705882352941178,0.9215686274509803,0.5294117647058824,0.5686274509803921,0.6666666666666666,1.2941176470588236,5.372549019607843,0.42570281124497994,0.33098591549295775,0.75,agbajoc01,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23,51,1003,8.1,0.531,0.57,0.08,3.9,9.9,6.9,6.1,1.3,2.6,11.7,12.2,0.1,0.3,0.4,0.019,-2.5,-0.5,-3.0,-0.3,False,Utah Jazz,31,51,0.378,26.0,115.7,120.5,-4.22,2024,12.0
Ochai Agbaji,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23,27,18,638,72,184,15,69,22,36,39,51,36,20,15,30,51,181,2.6666666666666665,6.814814814814815,0.5555555555555556,2.5555555555555554,0.8148148148148148,1.3333333333333333,3.3333333333333335,1.3333333333333333,0.7407407407407407,0.5555555555555556,1.1111111111111112,1.8888888888888888,6.703703703703703,0.3913043478260869,0.2173913043478261,0.6111111111111112,agbajoc01,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23,27,638,7.1,0.453,0.375,0.196,6.6,9.0,7.8,7.4,1.5,2.1,13.1,15.4,-0.6,0.3,-0.3,-0.024,-5.0,-1.5,-6.5,-0.7,False,Toronto Raptors,25,57,0.305,39.0,112.4,118.8,-6.45,2024,12.0
Santi Aldama,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23,61,35,1618,247,568,106,304,54,87,72,280,138,43,54,69,89,654,4.049180327868853,9.311475409836065,1.7377049180327868,4.983606557377049,0.8852459016393442,1.4262295081967213,5.770491803278689,2.262295081967213,0.7049180327868853,0.8852459016393442,1.1311475409836065,1.459016393442623,10.721311475409836,0.4348591549295775,0.34868421052631576,0.6206896551724138,aldamsa01,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23,61,1618,13.1,0.539,0.535,0.153,4.7,19.7,11.9,13.3,1.3,3.1,10.2,17.9,0.4,2.0,2.4,0.07,-0.7,0.4,-0.2,0.7,False,Memphis Grizzlies,27,55,0.329,30.0,105.8,112.8,-6.57,2024,13.0
Nickeil Alexander-Walker,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25,82,20,1921,236,538,131,335,52,65,35,132,204,64,42,76,143,655,2.8780487804878048,6.560975609756097,1.5975609756097562,4.085365853658536,0.6341463414634146,0.7926829268292683,2.0365853658536586,2.4878048780487805,0.7804878048780488,0.5121951219512195,0.926829268292683,1.7439024390243902,7.987804878048781,0.43866171003717475,0.391044776119403,0.7999999999999999,alexani01,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25,82,1921,10.9,0.578,0.623,0.121,2.2,7.5,4.9,14.5,1.6,1.9,11.8,14.8,1.5,2.8,4.3,0.107,-1.1,1.3,0.2,1.1,False,Minnesota Timberwolves,56,26,0.683,1.0,113.0,106.5,6.39,2024,3.0
Grayson Allen,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28,75,74,2513,340,682,205,445,129,147,48,247,227,69,45,95,157,1014,4.533333333333333,9.093333333333334,2.7333333333333334,5.933333333333334,1.72,1.96,3.933333333333333,3.026666666666667,0.92,0.6,1.2666666666666666,2.0933333333333333,13.52,0.4985337243401759,0.4606741573033708,0.8775510204081632,allengr01,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28,75,2513,13.8,0.679,0.652,0.216,2.3,10.6,6.6,12.1,1.3,1.6,11.3,14.5,4.7,2.2,6.9,0.132,1.1,0.1,1.3,2.0,False,Phoenix Suns,49,33,0.598,8.0,116.2,113.2,3.08,2024,6.5
Jarrett Allen,[<Position.CENTER: 'CENTER'>],25,77,77,2442,519,819,0,6,233,314,243,568,210,53,81,121,147,1271,6.740259740259741,10.636363636363637,0.0,0.07792207792207792,3.0259740259740258,4.077922077922078,10.532467532467532,2.727272727272727,0.6883116883116883,1.051948051948052,1.5714285714285714,1.9090909090909092,16.506493506493506,0.6336996336996337,0.0,0.7420382165605095,allenja01,[<Position.CENTER: 'CENTER'>],25,77,2442,21.8,0.664,0.007,0.383,11.3,25.8,18.7,13.2,1.1,3.0,11.2,19.4,6.8,3.9,10.7,0.21,2.1,0.9,3.0,3.1,False,Cleveland Cavaliers,48,34,0.585,16.0,112.6,110.2,1.98,2024,4.0
Timmy Allen,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24,5,0,125,6,23,0,7,1,2,4,13,5,4,0,2,18,13,1.2,4.6,0.0,1.4,0.2,0.4,3.4,1.0,0.8,0.0,0.4,3.6,2.6,0.2608695652173913,0.0,0.5,allenti01,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24,5,125,0.8,0.272,0.304,0.087,3.4,11.8,7.4,5.4,1.6,0.0,7.7,8.9,-0.2,0.1,-0.1,-0.041,-10.3,-0.7,-11.1,-0.3,False,Memphis Grizzlies,27,55,0.329,30.0,105.8,112.8,-6.57,2024,13.0
